"Seite der Bilanz";Kontotyp;Kontoklasse;Kto.-Nr.;Name;Summe
Aktiva;Aktiva;Umlaufvermögen;000;"Girokonto SKB-Konto 701-";1774,62
Aktiva;Aktiva;Umlaufvermögen;001;"Girokonto SKB -Konto 700-";11407,95
Aktiva;Aktiva;Umlaufvermögen;003;"Sparkonto SKB -Rücklagenkonto f. Heizung";19707,23
Passiva;Passiva;Verbindlichkeiten;004;"Darlehenskonto SKB";367051,12
Passiva;Passiva;Verbindlichkeiten;006;Privatdarlehen;169000,00
Passiva;Passiva;Verbindlichkeiten;231;"Kaution Vermietung";0,00
Passiva;Passiva;Eigenkapital;999;Saldovortragskonto;-546209,66
Passiva;Passiva;Eigenkapital;900;CPD-Konto;0,00
Passiva;Passiva;Eigenkapital;9999;Gewinn-Verlust-Überschuss;43048,34
;;;;;
"Zeitraum: 01.01.2024 – 31.12.2024";;;;;
"Stand: 15.01.2026, 12:16:24";;;;;
"Mandant: Eschweiler - 2024";;;;;
"Währung: EUR";;;;;
