Kontotyp;Kontoklasse;Kto.-Nr.;Name;Summe
"Gewinn- und Verlustrechnung";"Betr. Erträge";101;"Freizeitbeträge Teilnehmer";10100,00
"Gewinn- und Verlustrechnung";"Betr. Erträge";117;"Sonstige Einnahmen";600,00
"Gewinn- und Verlustrechnung";"Betr. Erträge";118;Haben-Zinsen;5,32
"Gewinn- und Verlustrechnung";"Betr. Erträge";102;Vermietung;4292,00
"Gewinn- und Verlustrechnung";Umsatzerlöse;103;"Kollekten über Spendenportal";130,00
"Gewinn- und Verlustrechnung";Umsatzerlöse;104;"Kollekte Eigenbedarf";12585,30
"Gewinn- und Verlustrechnung";Umsatzerlöse;105;"Sondersammlung eigene Zwecke";306,40
"Gewinn- und Verlustrechnung";Umsatzerlöse;106;"Kollekte zur Weiterleitung";1113,15
"Gewinn- und Verlustrechnung";Umsatzerlöse;109;"Spende von Freunden";6130,00
"Gewinn- und Verlustrechnung";Umsatzerlöse;110;"Spende von Mitgliedern";139829,89
"Gewinn- und Verlustrechnung";Umsatzerlöse;112;"Verzicht auf Auslagenerstattung";363,23
"Gewinn- und Verlustrechnung";Umsatzerlöse;113;"Spende für Allianz-Mission";3730,00
"Gewinn- und Verlustrechnung";Umsatzerlöse;114;"Spende für Bund FeG";1350,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";201;Grundbesitzabgaben;-1607,75
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";202;Heizung;-6511,03
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";203;Strom;-2561,49
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";204;Wasser;-379,58
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";205;Versicherungen;-3569,28
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";206;Reparaturen;-291,82
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";207;Reinigung;-6777,95
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";208;Investitionen/Anschaffungen;-5283,69
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";219;Kontoführung/Verwaltung;-1236,10
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";221;"Weiterleitung an Bund FeG";-9865,26
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";223;"Weiterleitung an Rheinischer Kreis";-350,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";224;"Weiterleitung Mission";-4240,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";225;"Weiterleitung Diakonie";-5350,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";230;Büro;-114,76
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";209;Bewirtung;940,62
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";210;Geschenke;-225,88
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";211;Schulungen;-425,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";212;Veranstaltungen;-2798,43
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";213;Gastprediger;-902,70
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";214;"Arbeit mit Kindern und Jugendlichen";-27,15
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";215;Werbung/Gemeindebrief;-896,36
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";217;Gemeindefreizeit;-9639,66
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";218;Telefon;-480,59
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";220;Fahrtkosten;-137,18
"Gewinn- und Verlustrechnung";"sonstige Aufwendungen";200;"Zinsen für Darlehen";-14564,69
"Gewinn- und Verlustrechnung";Personalaufwand;216;Pastor;-66705,58
;;;;
"Zeitraum: 01.01.2025 – 31.12.2025";;;;
"Stand: 15.01.2026, 08:14:27";;;;
"Mandant: Eschweiler - 2025";;;;
"Währung: EUR";;;;
